256, -35, 54, 10.5, 0
257, -35, 54, 13.5, 0
258, -35, 54, 16.5, 0
259, -35, 54, 19.5, 0
260, -35, 54, 22.5, 0
261, -35, 54, 25.5, 0
262, -32, -30, 1.5, 1
263, -32, -30, 4.5, 1
264, -32, -30, 7.5, 0
265, -32, -30, 10.5, 0
266, -32, -30, 13.5, 0
267, -32, -30, 16.5, 0
268, -32, -30, 19.5, 0
269, -32, -30, 22.5, 0
270, -32, -30, 25.5, 0
271, -32, -27, 1.5, 0
272, -32, -27, 4.5, 0
273, -32, -27, 7.5, 0
274, -32, -27, 10.5, 0
275, -32, -27, 13.5, 0
276, -32, -27, 16.5, 0
277, -32, -27, 19.5, 0
278, -32, -27, 22.5, 0
279, -32, -27, 25.5, 0
280, -32, -24, 1.5, 0
281, -32, -24, 4.5, 0
282, -32, -24, 7.5, 0
283, -32, -24, 10.5, 0
284, -32, -24, 13.5, 0
285, -32, -24, 16.5, 0
286, -32, -24, 19.5, 0
287, -32, -24, 22.5, 0
288, -32, -24, 25.5, 0
289, -32, -21, 1.5, 0
290, -32, -21, 4.5, 0
291, -32, -21, 7.5, 0
292, -32, -21, 10.5, 0
293, -32, -21, 13.5, 0
294, -32, -21, 16.5, 0
295, -32, -21, 19.5, 0
296, -32, -21, 22.5, 0
297, -32, -21, 25.5, 0
298, -32, -18, 1.5, 0
299, -32, -18, 4.5, 0
300, -32, -18, 7.5, 0
301, -32, -18, 10.5, 0
302, -32, -18, 13.5, 0
303, -32, -18, 16.5, 0
304, -32, -18, 19.5, 0
305, -32, -18, 22.5, 0
306, -32, -18, 25.5, 0
307, -32, -15, 1.5, 0
308, -32, -15, 4.5, 0
309, -32, -15, 7.5, 0
310, -32, -15, 10.5, 0
311, -32, -15, 13.5, 0
312, -32, -15, 16.5, 0
313, -32, -15, 19.5, 0
314, -32, -15, 22.5, 0
315, -32, -15, 25.5, 0
316, -32, -12, 1.5, 0
317, -32, -12, 4.5, 0
318, -32, -12, 7.5, 0
319, -32, -12, 10.5, 0
320, -32, -12, 13.5, 0
321, -32, -12, 16.5, 0
322, -32, -12, 19.5, 0
323, -32, -12, 22.5, 0
324, -32, -12, 25.5, 0
325, -32, -9, 1.5, 1
326, -32, -9, 4.5, 1
327, -32, -9, 7.5, 1
328, -32, -9, 10.5, 1
329, -32, -9, 13.5, 0
330, -32, -9, 16.5, 0
331, -32, -9, 19.5, 0
332, -32, -9, 22.5, 0
333, -32, -9, 25.5, 0
334, -32, -6, 1.5, 1
335, -32, -6, 4.5, 1
336, -32, -6, 7.5, 1
337, -32, -6, 10.5, 1
338, -32, -6, 13.5, 0
339, -32, -6, 16.5, 0
340, -32, -6, 19.5, 0
341, -32, -6, 22.5, 0
342, -32, -6, 25.5, 0
343, -32, -3, 1.5, 1
344, -32, -3, 4.5, 1
345, -32, -3, 7.5, 1
346, -32, -3, 10.5, 1
347, -32, -3, 13.5, 0
